Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Processed_Summary,Processed_Text,POS_Tags_Summary,POS_Tags_Text,Sentiment_Summary,Sentiment_Text
1,B001E4KFG0,A3SGXH7AUHU8GW,delmartian,1,1,5,1303862400,Good Quality Dog Food,I have bought several of the Vitality canned dog food products and have found them all to be of good quality. The product looks more like a stew than a processed meat and it smells better. My Labrador is finicky and she appreciates this product better than  most.,good quality dog food,bought several vitality canned dog food products found good quality product looks like stew processed meat smells better labrador finicky appreciates product better,"[('good', 'JJ'), ('quality', 'NN'), ('dog', 'NN'), ('food', 'NN')]","[('bought', 'VBD'), ('several', 'JJ'), ('vitality', 'NN'), ('canned', 'VBD'), ('dog', 'JJ'), ('food', 'NN'), ('products', 'NNS'), ('found', 'VBD'), ('good', 'JJ'), ('quality', 'NN'), ('product', 'NN'), ('looks', 'VBZ'), ('like', 'IN'), ('stew', 'NN'), ('processed', 'VBN'), ('meat', 'NN'), ('smells', 'NNS'), ('better', 'RBR'), ('labrador', 'NN'), ('finicky', 'JJ'), ('appreciates', 'VBZ'), ('product', 'NN'), ('better', 'RBR')]",0.4404,0.9441
2,B00813GRG4,A1D87F6ZCVE5NK,dll pa,0,0,1,1346976000,Not as Advertised,"Product arrived labeled as Jumbo Salted Peanuts...the peanuts were actually small sized unsalted. Not sure if this was an error or if the vendor intended to represent the product as ""Jumbo"".",advertised,product arrived labeled jumbo salted peanutsthe peanuts actually small sized unsalted sure error vendor intended represent product jumbo,"[('advertised', 'JJ')]","[('product', 'NN'), ('arrived', 'VBD'), ('labeled', 'JJ'), ('jumbo', 'NN'), ('salted', 'VBD'), ('peanutsthe', 'NN'), ('peanuts', 'NNS'), ('actually', 'RB'), ('small', 'JJ'), ('sized', 'VBN'), ('unsalted', 'JJ'), ('sure', 'JJ'), ('error', 'NN'), ('vendor', 'NN'), ('intended', 'VBN'), ('represent', 'JJ'), ('product', 'NN'), ('jumbo', 'NN')]",0.0,-0.5664
3,B000LQOCH0,ABXLMWJIXXAIN,"Natalia Corres ""Natalia Corres""",1,1,4,1219017600,"""Delight"" says it all","This is a confection that has been around a few centuries.  It is a light, pillowy citrus gelatin with nuts - in this case Filberts. And it is cut into tiny squares and then liberally coated with powdered sugar.  And it is a tiny mouthful of heaven.  Not too chewy, and very flavorful.  I highly recommend this yummy treat.  If you are familiar with the story of C.S. Lewis' ""The Lion, The Witch, and The Wardrobe"" - this is the treat that seduces Edmund into selling out his Brother and Sisters to the Witch.",delight says,confection around centuries light pillowy citrus gelatin nuts case filberts cut tiny squares liberally coated powdered sugar tiny mouthful heaven chewy flavorful highly recommend yummy treat familiar story cs lewis lion witch wardrobe treat seduces edmund selling brother sisters witch,"[('delight', 'NN'), ('says', 'VBZ')]","[('confection', 'NN'), ('around', 'IN'), ('centuries', 'NNS'), ('light', 'JJ'), ('pillowy', 'NNS'), ('citrus', 'VBP'), ('gelatin', 'NN'), ('nuts', 'NNS'), ('case', 'NN'), ('filberts', 'VBZ'), ('cut', 'VBN'), ('tiny', 'JJ'), ('squares', 'NNS'), ('liberally', 'RB'), ('coated', 'VBN'), ('powdered', 'JJ'), ('sugar', 'NN'), ('tiny', 'JJ'), ('mouthful', 'JJ'), ('heaven', 'NN'), ('chewy', 'NNS'), ('flavorful', 'JJ'), ('highly', 'RB'), ('recommend', 'VBP'), ('yummy', 'JJ'), ('treat', 'NN'), ('familiar', 'JJ'), ('story', 'NN'), ('cs', 'NN'), ('lewis', 'JJ'), ('lion', 'NN'), ('witch', 'NN'), ('wardrobe', 'NN'), ('treat', 'NN'), ('seduces', 'NNS'), ('edmund', 'IN'), ('selling', 'VBG'), ('brother', 'NN'), ('sisters', 'NNS'), ('witch', 'VBP')]",0.0,0.8265
4,B000UA0QIQ,A395BORC6FGVXV,Karl,3,3,2,1307923200,Cough Medicine,If you are looking for the secret ingredient in Robitussin I believe I have found it.  I got this in addition to the Root Beer Extract I ordered (which was good) and made some cherry soda.  The flavor is very medicinal.,cough medicine,looking secret ingredient robitussin believe found got addition root beer extract ordered good made cherry soda flavor medicinal,"[('cough', 'NN'), ('medicine', 'NN')]","[('looking', 'VBG'), ('secret', 'JJ'), ('ingredient', 'NN'), ('robitussin', 'NN'), ('believe', 'VBP'), ('found', 'VBN'), ('got', 'VBD'), ('addition', 'NN'), ('root', 'NN'), ('beer', 'NN'), ('extract', 'NN'), ('ordered', 'VBD'), ('good', 'JJ'), ('made', 'VBN'), ('cherry', 'NN'), ('soda', 'NN'), ('flavor', 'NN'), ('medicinal', 'NN')]",0.0,0.0
5,B006K2ZZ7K,A1UQRSCLF8GW1T,"Michael D. Bigham ""M. Wassir""",0,0,5,1350777600,Great taffy,"Great taffy at a great price.  There was a wide assortment of yummy taffy.  Delivery was very quick.  If your a taffy lover, this is a deal.",great taffy,great taffy great price wide assortment yummy taffy delivery quick taffy lover deal,"[('great', 'JJ'), ('taffy', 'NN')]","[('great', 'JJ'), ('taffy', 'JJ'), ('great', 'JJ'), ('price', 'NN'), ('wide', 'JJ'), ('assortment', 'NN'), ('yummy', 'NN'), ('taffy', 'NN'), ('delivery', 'NN'), ('quick', 'JJ'), ('taffy', 'NN'), ('lover', 'NN'), ('deal', 'NN')]",0.6249,0.9468
6,B006K2ZZ7K,ADT0SRK1MGOEU,Twoapennything,0,0,4,1342051200,Nice Taffy,"I got a wild hair for taffy and ordered this five pound bag. The taffy was all very enjoyable with many flavors: watermelon, root beer, melon, peppermint, grape, etc. My only complaint is there was a bit too much red/black licorice-flavored pieces (just not my particular favorites). Between me, my kids, and my husband, this lasted only two weeks! I would recommend this brand of taffy -- it was a delightful treat.",nice taffy,got wild hair taffy ordered five pound bag taffy enjoyable many flavors watermelon root beer melon peppermint grape etc complaint bit much redblack licoriceflavored pieces particular favorites kids husband lasted two weeks would recommend brand taffy delightful treat,"[('nice', 'JJ'), ('taffy', 'NN')]","[('got', 'VBD'), ('wild', 'JJ'), ('hair', 'NN'), ('taffy', 'NN'), ('ordered', 'VBD'), ('five', 'CD'), ('pound', 'NN'), ('bag', 'NN'), ('taffy', 'VBD'), ('enjoyable', 'JJ'), ('many', 'JJ'), ('flavors', 'NNS'), ('watermelon', 'VBP'), ('root', 'NN'), ('beer', 'NN'), ('melon', 'NN'), ('peppermint', 'NN'), ('grape', 'NN'), ('etc', 'FW'), ('complaint', 'NN'), ('bit', 'RB'), ('much', 'JJ'), ('redblack', 'NN'), ('licoriceflavored', 'VBD'), ('pieces', 'NNS'), ('particular', 'JJ'), ('favorites', 'NNS'), ('kids', 'NNS'), ('husband', 'RB'), ('lasted', 'VBD'), ('two', 'CD'), ('weeks', 'NNS'), ('would', 'MD'), ('recommend', 'VB'), ('brand', 'NN'), ('taffy', 'NN'), ('delightful', 'JJ'), ('treat', 'NN')]",0.4215,0.883
7,B006K2ZZ7K,A1SP2KVKFXXRU1,David C. Sullivan,0,0,5,1340150400,Great!  Just as good as the expensive brands!,"This saltwater taffy had great flavors and was very soft and chewy.  Each candy was individually wrapped well.  None of the candies were stuck together, which did happen in the expensive version, Fralinger's.  Would highly recommend this candy!  I served it at a beach-themed party and everyone loved it!",great good expensive brands,saltwater taffy great flavors soft chewy candy individually wrapped well none candies stuck together happen expensive version fralingers would highly recommend candy served beachthemed party everyone loved,"[('great', 'JJ'), ('good', 'JJ'), ('expensive', 'JJ'), ('brands', 'NNS')]","[('saltwater', 'NN'), ('taffy', 'NN'), ('great', 'JJ'), ('flavors', 'NNS'), ('soft', 'JJ'), ('chewy', 'NNS'), ('candy', 'VBP'), ('individually', 'RB'), ('wrapped', 'VBN'), ('well', 'RB'), ('none', 'NN'), ('candies', 'NNS'), ('stuck', 'VBP'), ('together', 'RB'), ('happen', 'JJ'), ('expensive', 'JJ'), ('version', 'NN'), ('fralingers', 'NNS'), ('would', 'MD'), ('highly', 'RB'), ('recommend', 'VB'), ('candy', 'NN'), ('served', 'VBD'), ('beachthemed', 'JJ'), ('party', 'NN'), ('everyone', 'NN'), ('loved', 'VBD')]",0.8217,0.9346
8,B006K2ZZ7K,A3JRGQVEQN31IQ,Pamela G. Williams,0,0,5,1336003200,"Wonderful, tasty taffy",This taffy is so good.  It is very soft and chewy.  The flavors are amazing.  I would definitely recommend you buying it.  Very satisfying!!,wonderful tasty taffy,taffy good soft chewy flavors amazing would definitely recommend buying satisfying,"[('wonderful', 'JJ'), ('tasty', 'NN'), ('taffy', 'NN')]","[('taffy', 'RB'), ('good', 'JJ'), ('soft', 'JJ'), ('chewy', 'NN'), ('flavors', 'NNS'), ('amazing', 'VBG'), ('would', 'MD'), ('definitely', 'RB'), ('recommend', 'VB'), ('buying', 'NN'), ('satisfying', 'NN')]",0.5719,0.9487
9,B000E7L2R4,A1MZYO9TZK0BBI,R. James,1,1,5,1322006400,Yay Barley,Right now I'm mostly just sprouting this so my cats can eat the grass. They love it. I rotate it around with Wheatgrass and Rye too,yay barley,right im mostly sprouting cats eat grass love rotate around wheatgrass rye,"[('yay', 'NN'), ('barley', 'NN')]","[('right', 'JJ'), ('im', 'NN'), ('mostly', 'RB'), ('sprouting', 'VBG'), ('cats', 'NNS'), ('eat', 'VBP'), ('grass', 'NN'), ('love', 'NN'), ('rotate', 'NN'), ('around', 'IN'), ('wheatgrass', 'NN'), ('rye', 'NN')]",0.5267,0.6369
10,B00171APVA,A21BT40VZCCYT4,Carol A. Reed,0,0,5,1351209600,Healthy Dog Food,This is a very healthy dog food. Good for their digestion. Also good for small puppies. My dog eats her required amount at every feeding.,healthy dog food,healthy dog food good digestion also good small puppies dog eats required amount every feeding,"[('healthy', 'JJ'), ('dog', 'NN'), ('food', 'NN')]","[('healthy', 'JJ'), ('dog', 'NN'), ('food', 'NN'), ('good', 'JJ'), ('digestion', 'NN'), ('also', 'RB'), ('good', 'JJ'), ('small', 'JJ'), ('puppies', 'NNS'), ('dog', 'VBP'), ('eats', 'NNS'), ('required', 'VBD'), ('amount', 'NN'), ('every', 'DT'), ('feeding', 'NN')]",0.4019,0.8313
